1097: Mobile, Alabama
17197: Will, Illinois
48397: Rockwall, Texas
46097: Miner, South Dakota
13197: Marion, Georgia
48097: Cooke, Texas
21097: Harrison, Kentucky
6097: Sonoma, California
18097: Marion, Indiana
8097: Pitkin, Colorado
37197: Yadkin, North Carolina
30097: Sweet Grass, Montana
20097: Kiowa, Kansas
48297: Live Oak, Texas
42097: Northumberland, Pennsylvania
47099: Lawrence, Tennessee
55099: Price, Wisconsin
13299: Ware, Georgia
55101: Racine, Wisconsin
37101: Johnston, North Carolina
12101: Pasco, Florida
44001: Bristol, Rhode Island
40001: Adair, Oklahoma
13001: Appling, Georgia
19101: Jefferson, Iowa
55001: Adams, Wisconsin
48201: Harris, Texas
41001: Baker, Oregon
2201: Prince Wales Ketchikan, Alaska
49001: Beaver, Utah
33001: Belknap, New Hampshire
48101: Cottle, Texas
13101: Echols, Georgia
13301: Warren, Georgia
11001: District of Columbia, District of Columbia
6101: Sutter, California
48501: Yoakum, Texas
42101: Philadelphia, Pennsylvania
40101: Muskogee, Oklahoma
12001: Alachua, Florida
18001: Adams, Indiana
30001: Beaverhead, Montana
28101: Newton, Mississippi
4001: Apache, Arizona
17101: Lawrence, Illinois
31101: Keith, Nebraska
22001: Acadia, Louisiana
27001: Aitkin, Minnesota
13201: Miller, Georgia
8001: Adams, Colorado
17201: Winnebago, Illinois
15001: Hawaii, Hawaii
22101: St Mary, Louisiana
53001: Adams, Washington
21001: Adair, Kentucky
46101: Moody, South Dakota
20101: Lane, Kansas
48001: Anderson, Texas
21101: Henderson, Kentucky
21201: Robertson, Kentucky
1001: Autauga, Alabama
39101: Marion, Ohio
28001: Adams, Mississippi
48301: Loving, Texas
54001: Barbour, West Virginia
51101: King William, Virginia
38001: Adams, North Dakota
50001: Addison, Vermont
26101: Manistee, Michigan
19001: Adair, Iowa
8101: Pueblo, Colorado
5101: Newton, Arkansas
23001: Androscoggin, Maine
48401: Rusk, Texas
36101: Steuben, New York
37001: Alamance, North Carolina
56001: Albany, Wyoming
32001: Churchill, Nevada
10001: Kent, Delaware
5001: Arkansas, Arkansas
20201: Washington, Kansas
16001: Ada, Idaho
18101: Martin, Indiana
25001: Barnstable, Massachusetts
31001: Adams, Nebraska
26001: Alcona, Michigan
17001: Adams, Illinois
45001: Abbeville, South Carolina
47101: Lewis, Tennessee
9001: Fairfield, Connecticut
51001: Accomack, Virginia
54101: Webster, West Virginia
20001: Allen, Kansas
34001: Atlantic, New Jersey
39001: Adams, Ohio
30101: Toole, Montana
1101: Montgomery, Alabama
24001: Allegany, Maryland
6001: Alameda, California
38101: Ward, North Dakota
29201: Scott, Missouri
29001: Adair, Missouri
36001: Albany, New York
27101: Murray, Minnesota
29101: Johnson, Missouri
19003: Adams, Iowa
29103: Knox, Missouri
38103: Wells, North Dakota
31003: Antelope, Nebraska
37003: Alexander, North Carolina
34003: Bergen, New Jersey
12003: Baker, Florida
49003: Box Elder, Utah
39103: Medina, Ohio
48303: Lubbock, Texas
51003: Albemarle, Virginia
44003: Kent, Rhode Island
18003: Allen, Indiana
27103: Nicollet, Minnesota
8103: Rio Blanco, Colorado
25003: Berkshire, Massachusetts
28003: Alcorn, Mississippi
48103: Crane, Texas
18103: Miami, Indiana
29003: Andrew, Missouri
42103: Pike, Pennsylvania
26103: Marquette, Michigan
9003: Hartford, Connecticut
5103: Ouachita, Arkansas
20003: Anderson, Kansas
23003: Aroostook, Maine
41003: Benton, Oregon
32003: Clark, Nevada
31103: Keya Paha, Nebraska
5003: Ashley, Arkansas
46003: Aurora, South Dakota
1003: Baldwin, Alabama
40003: Alfalfa, Oklahoma
48203: Harrison, Texas
20103: Leavenworth, Kansas
6003: Alpine, California
13103: Effingham, Georgia
12103: Pinellas, Florida
8003: Alamosa, Colorado
50003: Bennington, Vermont
22003: Allen, Louisiana
48503: Young, Texas
30103: Treasure, Montana
16003: Adams, Idaho
53003: Asotin, Washington
55003: Ashland, Wisconsin
15003: Honolulu, Hawaii
17003: Alexander, Illinois
1103: Morgan, Alabama
38003: Barnes, North Dakota
46103: Pennington, South Dakota
54103: Wetzel, West Virginia
45003: Aiken, South Carolina
36003: Allegany, New York
6103: Tehama, California
21203: Rockcastle, Kentucky
27003: Anoka, Minnesota
24003: Anne Arundel, Maryland
17203: Woodford, Illinois
13003: Atkinson, Georgia
48403: Sabine, Texas
51103: Lancaster, Virginia
22103: St Tammany, Louisiana
28103: Noxubee, Mississippi
17103: Lee, Illinois
47003: Bedford, Tennessee
47103: Lincoln, Tennessee
